Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"MAX7219 LED Matrix","Display expression",3,13.99,"https://www.amazon.com/dp/B0BXDKHZL6?th=1","Amazon"
"ESP32-CAM","To detect motion and faces",2,15.99,"https://www.amazon.com/dp/B09TB1GJ7P?th=1","Amazon"
"KY-038 Sound Sensor","Listen for claps",2,8.65,"https://www.amazon.com/dp/B0DGY3K2PM","Amazon"
"Passive Buzzer","To play sound as a response",10,5.99,"https://www.amazon.com/dp/B0F1KFHSNK?th=1","Amazon"
"SG90 Servo","For functional arms",4,9.99,"https://www.amazon.com/dp/B0FP2P3JC8?th=1","Amazon"
"Breadboard kit","Wire everything",1,14.99,"https://www.amazon.com/dp/B0C1VDKPW2","Amazon"
"FT232RL FTDI Programmer","To give it Arduino capabilities",2,6.49,"https://www.amazon.com/dp/B0FHP71BCQ","Amazon"
"Micro USB cable","Power it",1,8.09,"https://www.amazon.com/dp/B07232M876?th=1","Amazon"
"3D printed parts","for the chasis",1,20.00,"","protolabs"
"Total","",,105.49,"",""
